,name,discount_price,price,discount %,cpu,ram,storage,classification,brand_name
95,"Dell Inspiron 7440 2in1 Laptop 14"" Touchscreen - Core 7 150U - 16GB Ram - 1TB SSD - Intel Graphics",930.0,1100.0,-15.0,Intel®,6,1000.0,Mid End,dell
96,"Microsoft Surface Laptop 6 ZKG-00001 - 13.5"" Touchscreen - Core Ultra 7 165U - 64GB Ram - 1TB SSD - Intel Arc Graphics",3000.0,3300.0,-9.0,Intel,64,1000.0,Hight End,microsoft
97,"Microsoft Surface Laptop (7th Edition) ZXX-00001 Copilot+ PC - 13.8"" TouchScreen - Snapdragon X Elite - 16GB Ram - 1TB SSD - Qualcomm Adreno GPU - Platinum",1650.0,2200.0,-25.0,Snapdragon®,6,1000.0,Hight End,microsoft
98,Microsoft Surface Pro (11th Edition) Copilot+ PC - 13” Touchscreen - Snapdragon X Plus - 16GB Ram - 512GB SSD - Qualcomm Adreno GPU,1350.0,1500.0,-10.0,Snapdragon®,6,512.0,Mid End,microsoft
99,"Lenovo IdeaPad 5 2in1 83DS0000US - 16"" Touchscreen - Ryzen 7 8845HS - 16GB Ram - 1TB SSD - AMD Radeon 780M Graphics",670.0,980.0,-32.0,AMD,6,1000.0,Mid End,lenovo
101,"HP EliteBook 630 G10 Notebook PC (816M8EA) - 13.3"" - Core I7-1355U - 8GB Ram - 512GB SSD - Intel Iris Xe",900.0,1030.0,-13.0,Intel®,8,512.0,Mid End,hp
102,"Lenovo IdeaPad 5 2in1 83DR000FCF - 14"" Touchscreen - Ryzen 5 8645HS - 16GB Ram - 512GB SSD - AMD Radeon 760M Graphics - Stylus Pen Included",680.0,750.0,-9.0,AMD,6,512.0,Budget,lenovo
103,"HP Spectre X360 14T-EU000 - 14"" Touchscreen - Core Ultra 7 155H - 32GB Ram - 512GB SSD - Intel Arc Graphics",1100.0,1250.0,-12.0,Intel®,3,512.0,Mid End,hp
104,"Lenovo ThinkBook 16 G7 IML 21MS000NGQ - 16"" - Core Ultra 7 155H - 8GB Ram - 512GB SSD - Intel Arc Graphics",815.0,900.0,-9.0,Intel®,8,512.0,Mid End,lenovo
106,"Asus Vivobook Pro 15 OLED N6506MV-MA022 - 15.6"" - Core Ultra 7 155H - 16GB Ram - 1TB SSD - RTX 4060 8GB - 3Years Warranty",1350.0,1450.0,-7.0,Intel®,6,1000.0,Mid End,asus
107,"Asus Vivobook Pro 15 OLED N6506MU-MA029 - 15.6"" - Core Ultra 7 155H - 16GB Ram - 1TB SSD - RTX 4050 6GB - 3Years Warranty",1230.0,1310.0,-6.0,Intel®,6,1000.0,Mid End,asus
111,"Microsoft Surface Laptop Studio 2-IN-1 Z1I-00001 - 14.4"" Touchscreen - Core I7-13700H - 32GB Ram - 1TB SSD - RTX 4050 6GB",2499.0,3250.0,-23.0,Intel®,3,1000.0,Hight End,microsoft
112,"Dell XPS 13 - 13.4"" - Core Ultra 7 155H - 16GB Ram - 512GB SSD - Intel Arc Graphics",1299.0,1500.0,-13.0,Intel®,6,512.0,Mid End,dell
113,"Acer SWIFT GO - SFG14-71T-72QV - 14"" Touchscreen - Core I7-1355U - 16GB Ram - 512GB SSD - Intel Iris Graphics",660.0,800.0,-18.0,Intel®,6,512.0,Budget,acer
115,"HP Envy 16-H1053DX - 16"" Touchscreen - Core I7-13700H - 16GB Ram - 1TB SSD - RTX 4060 8GB",1175.0,1300.0,-10.0,Intel®,6,1000.0,Mid End,hp
116,"Lenovo ThinkPad T14 Gen 3 21AH00BQUS - 14"" - Core I5-1235U - 16GB Ram - 256GB SSD - Intel Iris Xe",825.0,1100.0,-25.0,Intel®,8,256.0,Mid End,lenovo
118,"Asus VivoBook S 16 Flip 2-IN-1 TP3604VA-IS93T - 16"" Touchscreen - Core I9-13900H - 16GB Ram - 1TB SSD - Intel Iris Xe",1100.0,1150.0,-4.0,Intel®,6,1000.0,Mid End,asus
120,"HP Spectre X360 16-AA0023 - 16"" Touchscreen - Core Ultra 7 155H - 32GB Ram - 1TB SSD - RTX 4050 6GB",1450.0,1850.0,-22.0,Intel®,3,1000.0,Hight End,hp
121,"Lenovo IdeaPad 5 2-In-1 83DU0009CF - 14.0"" Touch - Core Ultra 7 150U - 16GB Ram - 512GB SSD - Integrated Intel Graphics",799.0,1000.0,-20.0,,6,512.0,Mid End,lenovo
122,"HP Laptop 15-FD0061NE (9Q4P8EA#ABV) - 15.6"" - Core I7-1355U - 8GB Ram - 512GB SSD - MX570 A 2GB Graphics",690.0,750.0,-8.0,Intel®,8,512.0,Budget,hp
123,"HP Laptop 15-FD0022NE (91W37EA#ABV) - 15.6"" - Core I7-1355U - 8GB Ram - 512GB SSD - Intel Iris Xe Graphics",650.0,700.0,-7.0,Intel®,8,512.0,Budget,hp
124,"HP Laptop 15-FD0054NE - 15.6"" - Core I5-1334U - 8GB Ram - 512GB SSD - Intel Iris Xe Graphics",500.0,550.0,-9.0,Intel®,8,512.0,Budget,hp
125,"Lenovo Yoga 7 2-In-1 14IML9 - 14"" Touchscreen - Core Ultra 7 155U - 16GB Ram - 1TB SSD - Intel Graphic",950.0,1050.0,-10.0,,6,1000.0,Mid End,lenovo
126,"Lenovo ThinkPad X1 Carbon G12 - 21KC0046US - 14"" - Core Ultra 7 155U - 32GB Ram - 512GB SSD - Intel Graphics",1700.0,2000.0,-15.0,Intel®,3,512.0,Hight End,lenovo
128,"Lenovo ThinkPad E16 G2 - 21MA0035US - 16"" - Core Ultra 7 155U - 16GB Ram - 512GB SSD - Intel Arc Graphics",970.0,1100.0,-12.0,Intel®,6,512.0,Mid End,lenovo
129,"Lenovo ThinkPad E16 G2 21MA000BGP - 16"" - Core Ultra 5 125U - 8GB Ram - 512GB SSD - Intel Graphics - Includes Lenovo 15.6"" Laptop Casual Toploader",800.0,920.0,-13.0,Intel®,8,512.0,Mid End,lenovo
130,"Lenovo ThinkPad E14 G6 21M7000FGR - 14"" - Core Ultra 5 125U - 8GB Ram - 512GB SSD - Intel Graphics - Includes Lenovo 15.6"" Laptop Casual Toploader",800.0,890.0,-10.0,Intel®,8,512.0,Budget,lenovo
131,"HP Pavilion 16T-AF000 - 16"" - Core Ultra 7 155U - 16GB Ram - 512GB SSD - Intel Graphics",900.0,1000.0,-10.0,Intel®,6,512.0,Mid End,hp
132,"Microsoft Surface Laptop (7th Edition) ZYT-00026 Copilot+ PC - 15"" TouchScreen - Snapdragon X Elite - 16GB Ram - 1TB SSD - Qualcomm Adreno GPU",2000.0,2200.0,-9.0,Snapdragon®,6,1000.0,Hight End,microsoft
133,Microsoft Surface Pro (11th Edition) Copilot+ PC - 13” OLED - Snapdragon X Elite - 16GB Ram - 512GB SSD - Qualcomm Adreno GPU - Black,1650.0,2000.0,-18.0,Snapdragon®,6,512.0,Hight End,microsoft
134,Microsoft Surface Pro (11th Edition) Copilot+ PC - 13” OLED - Snapdragon X Elite - 16GB Ram - 1TB SSD - Qualcomm Adreno GPU,1950.0,2200.0,-11.0,Snapdragon®,6,1000.0,Hight End,microsoft
135,Lenovo Yoga Book 9 83FF0001US 2-IN-1 - Dual 13.3 Inch Touchscreen - Core Ultra 7 155U - 16GB Ram - 1TB SSD - Intel Graphics - Includes Lenovo Silent Mouse + Folio Stand,1750.0,2000.0,-13.0,,6,1000.0,Hight End,lenovo
136,"Lenovo Yoga 7 2-In-1 16IML9 - 16"" Touchscreen - Core Ultra 7 155U - 16GB Ram - 1TB SSD - Intel Graphic",900.0,1350.0,-33.0,,6,1000.0,Mid End,lenovo
137,"HP Envy X360 16-AC0023DX - 16"" Touchscreen - Core Ultra 7 155U - 16GB Ram - 1TB SSD - Intel Arc Graphics",925.0,990.0,-7.0,Intel®,6,1000.0,Mid End,hp
138,"Lenovo ThinkPad T14 Gen 4 21HD00DGUS - 14"" Touchscreen - Core I7-1355U - 32GB Ram - 1TB SSD - Intel Iris Xe",950.0,1300.0,-27.0,Intel®,6,1000.0,Mid End,lenovo
139,Microsoft Surface Pro (11th Edition) Copilot+ PC - 13” OLED - Snapdragon X Elite - 32GB Ram - 1TB SSD - Qualcomm Adreno GPU,2200.0,2400.0,-8.0,Snapdragon®,3,1000.0,Hight End,microsoft
140,"HP Spectre X360 16-F2008 8V6R2UAR#ABL - 16"" Touchscreen - Core I7-1360P - 32GB Ram - 1TB SSD - Intel Arc A370 4GB",1050.0,1350.0,-22.0,,3,1000.0,Mid End,hp
142,"Dell Latitude 7230 Rugged Extreme Tablet - 12"" Touchscreen - Core I7-1260U - 32GB Ram - 512GB SSD - Intel Iris Xe",1580.0,1750.0,-10.0,12th,3,512.0,Mid End,dell
143,"HP ProBook 450 G10 85D09EA - 15.6"" - Core I7-1355U - 16GB Ram - 512GB SSD - Intel Iris Xe",760.0,875.0,-13.0,Intel®,6,512.0,Budget,hp
